"pitcher","taggedpitchtype","relspeed","horzbreak","inducedvertbreak","spinrate","horzapprangle","vertapprangle","platelocside","platelocheight","session_date","pitchno","pitch_no_seq","plate_side_in","plate_side_in_clamped","plate_height_ft_clamped","in_pzr_zone"
"Pitcher X","Fastball","87.50826607","10.73011707","18.73090434","2164.433249","-1.393949196","-5.506568065","-0.645591556","1.847043875","2025-09-05",1,"1","-7.747098672","-7.747098672","1.847043875",1
"Pitcher X","Fastball","87.50826607","10.73011707","18.73090434","2164.433249","-1.393949196","-5.506568065","-0.645591556","1.847043875","2025-09-05",1,"2","-7.747098672","-7.747098672","1.847043875",1
"Pitcher X","Fastball","88.05128117","9.360458402","18.7550742","2233.086629","-1.955678171","-3.737790541","-0.970861578","3.291993194","2025-09-05",2,"3","-11.650338935999999","-11.650338935999999","3.291993194",0
"Pitcher X","Fastball","88.05128117","9.360458402","18.7550742","2233.086629","-1.955678171","-3.737790541","-0.970861578","3.291993194","2025-09-05",2,"4","-11.650338935999999","-11.650338935999999","3.291993194",0
"Pitcher X","Fastball","89.67325541","9.007036398","19.40097021","2204.122017","-0.753833916","-3.372273058","-0.502162169","3.861902315","2025-09-05",3,"5","-6.025946028","-6.025946028","3.861902315",0
"Pitcher X","Fastball","89.67325541","9.007036398","19.40097021","2204.122017","-0.753833916","-3.372273058","-0.502162169","3.861902315","2025-09-05",3,"6","-6.025946028","-6.025946028","3.861902315",0
"Pitcher X","Fastball","91.03589642","9.279885524","19.52756409","2183.498908","-0.825162128","-3.936121676","-0.762321306","3.101313369","2025-09-05",4,"7","-9.147855672","-9.147855672","3.101313369",1
"Pitcher X","Fastball","91.03589642","9.279885524","19.52756409","2183.498908","-0.825162128","-3.936121676","-0.762321306","3.101313369","2025-09-05",4,"8","-9.147855672","-9.147855672","3.101313369",1
"Pitcher X","Slider","79.42252471","-3.257956786","1.158230781","2422.095712","-3.366580972","-9.138981024","-1.528148594","0.301183775","2025-09-05",5,"9","-18.337783127999998","-18.337783127999998","0.301183775",0
"Pitcher X","Slider","79.42252471","-3.257956786","1.158230781","2422.095712","-3.366580972","-9.138981024","-1.528148594","0.301183775","2025-09-05",5,"10","-18.337783127999998","-18.337783127999998","0.301183775",0
"Pitcher X","Fastball","89.13660835","11.29810814","19.69843978","2285.189699","-1.694248526","-3.550827548","-0.370746056","3.275834656","2025-09-05",6,"11","-4.448952672","-4.448952672","3.275834656",1
"Pitcher X","Fastball","89.13660835","11.29810814","19.69843978","2285.189699","-1.694248526","-3.550827548","-0.370746056","3.275834656","2025-09-05",6,"12","-4.448952672","-4.448952672","3.275834656",1
"Pitcher X","Curveball","72.89958397","-12.56572983","-12.41226162","2418.440933","-1.864234192","-10.19551876","0.067467889","1.641096972","2025-09-05",7,"13","0.809614668","0.809614668","1.641096972",1
"Pitcher X","Curveball","72.89958397","-12.56572983","-12.41226162","2418.440933","-1.864234192","-10.19551876","0.067467889","1.641096972","2025-09-05",7,"14","0.809614668","0.809614668","1.641096972",1
"Pitcher X","Fastball","88.2082206","8.744623642","19.5300942","2253.949446","0.332130237","-5.974708903","0.389578822","1.370703292","2025-09-05",8,"15","4.674945864","4.674945864","1.370703292",1
"Pitcher X","Fastball","88.2082206","8.744623642","19.5300942","2253.949446","0.332130237","-5.974708903","0.389578822","1.370703292","2025-09-05",8,"16","4.674945864","4.674945864","1.370703292",1
